,Unnamed: 0.1,Topic,Subject,Question,Answer
125,175,Actitud,prepared,I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,"I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,4|5|5_5|5|5,
hit:558_conv:1117,2,prepared,I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,64,That sounds like a fun trip. I love camping.,4|5|5_5|5|5,
hit:558_conv:1117,3,prepared,I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,184,Yep as long as the weather is nice_comma_ it's fun. It's too hot right now though,4|5|5_5|5|5,
hit:558_conv:1117,4,prepared,I once had to go camping it didn't have the right equipment. So I went to the store and bought a new tent and sleeping bag.,64,I'm glad the weather seems to be holding up. I live in Florida and it is always hot.,4|5|5_5|5|5,
hit:559_conv:1119,1,terrified,I was afraid of failing my exams,181,I pray not to be afraid to pass my exams,4|4|4_5|5|5,
hit:559_conv:1119,2,terrified,I was afraid of failing my exams,64,I think you will be fine. Just stay confident!,4|4|4_5|5|5,
hit:559_conv:1119,3,terrified,I was afraid of failing my exams,181,Yes_comma_i will surely do that,4|4|4_5|5|5,
hit:559_conv:1119,4,terrified,I was afraid of failing my exams,64,Please do and you will do great!,4|4|4_5|5|5,
hit:560_conv:1120,1,proud,2,160,I was so mad today.  I was at the mall and someone stole my parking spot!,5|5|5_5|5|5,
hit:560_conv:1120,2,proud,2,182,That is infuriating to hear! People are just so entitled to things these days_comma_ truly no decency. ,5|5|5_5|5|5,
hit:560_conv:1120,3,proud,2,160,I know right.  He just whipped right in my space after I had been waiting patiently for a few minutes.,5|5|5_5|5|5,
hit:560_conv:1120,4,proud,2,182,I hate when that happens. Something that you do but someone else takes credit for. I would've yelled at the person!,5|5|5_5|5|5,
hit:560_conv:1121,1,furious,Last week I made plans with a friend of mine I had not seen in a long time. But on the morning of the day_comma_ my friend said they couldn't make it! I was so really mad.,182,Last week I made plans with a friend of mine I had not seen in a long time. But on the morning of the day_comma_ my friend said they couldn't make it! I was so really mad.,5|5|5_5|5|5,
hit:560_conv:1121,2,furious,Last week I made plans with a friend of mine I had not seen in a long time. But on the morning of the day_comma_ my friend said they couldn't make it! I was so really mad.,160,I hate when that happens.  It makes you wonder if they are really your friend or not.,5|5|5_5|5|5,
hit:560_conv:1121,3,furious,Last week I made plans with a friend of mine I had not seen in a long time. But on the morning of the day_comma_ my friend said they couldn't make it! I was so really mad.,182,Yea right. I was so upset that I considered ending the friendship with them.,5|5|5_5|5|5,
hit:560_conv:1121,4,furious,Last week I made plans with a friend of mine I had not seen in a long time. But on the morning of the day_comma_ my friend said they couldn't make it! I was so really mad.,160,I know how you feel.  Try not to get too mad_comma_ maybe he had a good reason and didn't want to share it.,5|5|5_5|5|5,
hit:561_conv:1123,1,excited,I love pizza and finally got to go to Chicago to have the real deep dish experience.,167,I love pizza and finally got to go to Chicago to have the real deep dish experience,5|5|5_5|5|5,
hit:561_conv:1123,2,excited,I love pizza and finally got to go to Chicago to have the real deep dish experience.,64,I have never been to Chicago. I heard deep dish pizza is incredible!,5|5|5_5|5|5,
hit:561_conv:1123,3,excited,I love pizza and finally got to go to Chicago to have the real deep dish experience.,167,Yes_comma_ if you ever get the chance it is a great weekend getaway for foodies.,5|5|5_5|5|5,
hit:561_conv:1123,4,excited,I love pizza and finally got to go to Chicago to have the real deep dish experience.,64,That's great to hear_comma_ because I love food and pizza.,5|5|5_5|5|5,
hit:562_conv:1125,1,afraid,when going into the haunted house,185,I feel anxious going to them.,4|5|5_5|5|5,
hit:562_conv:1125,2,afraid,when going into the haunted house,64,I am sorry about that. Where are you going?,4|5|5_5|5|5,
hit:562_conv:1125,3,afraid,when going into the haunted house,185,To halloween horror nights. Have you ever been?,4|5|5_5|5|5,
hit:562_conv:1125,4,afraid,when going into the haunted house,64,I have not! Is that at a theme park?,4|5|5_5|5|5,
hit:562_conv:1125,5,afraid,when going into the haunted house,185,Yes it is at Universal studios in orlando florida,4|5|5_5|5|5,
hit:565_conv:1131,1,excited,On my last birthday I went skydiving. I'm afraid of heights_comma_ but I was still excitied about the prospect.,184,On my last birthday I went skydiving. I'm afraid of heights_comma_ but I was still excitied about the prospect.,3|5|5_5|5|5,
hit:565_conv:1131,2,excited,On my last birthday I went skydiving. I'm afraid of heights_comma_ but I was still excitied about the prospect.,64,Skydiving sounds like a lot of fun. I need to go!,3|5|5_5|5|5,
hit:565_conv:1131,3,excited,On my last birthday I went skydiving. I'm afraid of heights_comma_ but I was still excitied about the prospect.,184,It's really great_comma_ biggest thrill of my life.,3|5|5_5|5|5,
hit:565_conv:1131,4,excited,On my last birthday I went skydiving. I'm afraid of heights_comma_ but I was still excitied about the prospect.,64,I want to go so bad. People that are afraid of heights are missing out!,3|5|5_5|5|5,
hit:566_conv:1133,1,caring,My three year old had the flu. I gave them a bath_comma_ fed them some soup and fruit_comma_ gave them a cup of milk followed by some medicine and tucked them into bed. It felt nice taking care of my baby.,152,I had to take care of my 3 year old_comma_ he had the flu. I fed him some healthy food_comma_ gave him a warm bath and tucked him in to bed with fresh clean jammies. It was sweet.,5|5|5_5|5|5,
hit:566_conv:1133,2,caring,My three year old had the flu. I gave them a bath_comma_ fed them some soup and fruit_comma_ gave them a cup of milk followed by some medicine and tucked them into bed. It felt nice taking care of my baby.,178,wow. what an experience. He must have felt loved from the care you gave him,5|5|5_5|5|5,
hit:566_conv:1133,3,caring,My three year old had the flu. I gave them a bath_comma_ fed them some soup and fruit_comma_ gave them a cup of milk followed by some medicine and tucked them into bed. It felt nice taking care of my baby.,152,I sure hope so! He was really fussy while he was sick_comma_ I felt bad.,5|5|5_5|5|5,
hit:566_conv:1133,4,caring,My three year old had the flu. I gave them a bath_comma_ fed them some soup and fruit_comma_ gave them a cup of milk followed by some medicine and tucked them into bed. It felt nice taking care of my baby.,178,sorry about that. I hope he is doing well now,5|5|5_5|5|5,
hit:567_conv:1135,1,afraid,I was so terrified last night,181,I had terrifying dreams,4|4|4_5|5|5,
hit:567_conv:1135,2,afraid,I was so terrified last night,158,Don't we all,4|4|4_5|5|5,
hit:567_conv:1135,3,afraid,I was so terrified last night,181,It happens at times,4|4|4_5|5|5,
hit:567_conv:1135,4,afraid,I was so terrified last night,158,A lot of times I wake up and am relieved it was only a dream.,4|4|4_5|5|5,
hit:568_conv:1136,1,afraid,I was shot at on the fourth of july one year.,174,A few years ago I saw my life flash before my eyes.,5|5|5_5|5|5,
hit:568_conv:1136,2,afraid,I was shot at on the fourth of july one year.,185,oh wow what happened?,5|5|5_5|5|5,
hit:568_conv:1136,3,afraid,I was shot at on the fourth of july one year.,174,My friends and I were sitting at one of our houses. All of a sudden gunshots start reigning throughout the neighborhood.,5|5|5_5|5|5,
hit:568_conv:1136,4,afraid,I was shot at on the fourth of july one year.,185,that is crazy_comma_ did you call the cops?,5|5|5_5|5|5,
hit:568_conv:1136,5,afraid,I was shot at on the fourth of july one year.,174,Yes_comma_ but it took us a few minutes to do so because we were so shocked.,5|5|5_5|5|5,
hit:568_conv:1137,1,trusting,when I left my friend cut my hair,185,I let my friend cut my hair_comma_ with no training,5|5|5_5|5|5,
hit:568_conv:1137,2,trusting,when I left my friend cut my hair,174,How did that wind up going for you?,5|5|5_5|5|5,
hit:568_conv:1137,3,trusting,when I left my friend cut my hair,185,not to well i ended up cutting the rest myself to make the haircut better,5|5|5_5|5|5,
hit:568_conv:1137,4,trusting,when I left my friend cut my hair,174,Oh my gosh_comma_ that is terrible! I hope you were able to salvage it.,5|5|5_5|5|5,
hit:569_conv:1139,1,lonely,I live by myself and I get so bored.  I feel so depressed.,160,I live by myself and I get so bored. I feel so depressed.,5|5|5_5|5|5,
hit:569_conv:1139,2,lonely,I live by myself and I get so bored.  I feel so depressed.,108,I'm sorry to hear that it bothers you in a negative way. I love being alone_comma_ I'm an introvert.,5|5|5_5|5|5,
hit:569_conv:1139,3,lonely,I live by myself and I get so bored.  I feel so depressed.,160,Lucky you.  I am very social so it is hard for me sometimes.  Hopefully I won't have to deal with it forever.,5|5|5_5|5|5,
hit:569_conv:1139,4,lonely,I live by myself and I get so bored.  I feel so depressed.,108,No_comma_ you won't.Enjoy your peace while you have it. You can always go out or join an interest group.,5|5|5_5|5|5,
hit:570_conv:1140,1,furious,I had some special flowers growing for 3 years and a new landscaper destroyed them all.,180,I grew these beautiful flowers in my garden and I had them for three years tending to them carefully. Can you believe our new landscaper mowed them over with his lawn mower.,5|5|5_5|4|5,
hit:570_conv:1140,2,furious,I had some special flowers growing for 3 years and a new landscaper destroyed them all.,184,Oh no_comma_ that's terrible! You should fire that landscaper and plant new flowers.,5|5|5_5|4|5,
hit:570_conv:1140,3,furious,I had some special flowers growing for 3 years and a new landscaper destroyed them all.,180,That is exactly how I felt. It took me so much time to get them exactly the way I wanted them.,5|5|5_5|4|5,
hit:570_conv:1140,4,furious,I had some special flowers growing for 3 years and a new landscaper destroyed them all.,184,Well you can always get more flowers_comma_ so it'll be okay!,5|5|5_5|4|5,
hit:570_conv:1140,5,furious,I had some special flowers growing for 3 years and a new landscaper destroyed them all.,180,You are so kind_comma_ but it is just not the same_comma_ and I think if this was to happen again I will pull what is remaining of my hair out.,5|5|5_5|4|5,
hit:570_conv:1141,1,lonely,I've been doing work in a remote location and I haven't seen my friends or family for weeks.,184,I've been doing work in a remote location and I haven't seen my friends or family for weeks.,5|4|5_5|5|5,
hit:570_conv:1141,2,lonely,I've been doing work in a remote location and I haven't seen my friends or family for weeks.,180,Oh my_comma_ that must be very lonely. Don't you get home sick?,5|4|5_5|5|5,
hit:570_conv:1141,3,lonely,I've been doing work in a remote location and I haven't seen my friends or family for weeks.,184,I do_comma_ but the pay is good and I need the money.,5|4|5_5|5|5,
hit:570_conv:1141,4,lonely,I've been doing work in a remote location and I haven't seen my friends or family for weeks.,180,I totally understand_comma_ and I know you must feel sad sometimes. Would you get to see them soon?,5|4|5_5|5|5,
hit:571_conv:1142,1,proud,I was very happy when I finished college.,185,I studied college at university of south Florida.  I was very happy when I graduated.,5|5|5_4|4|4,
hit:571_conv:1142,2,proud,I was very happy when I finished college.,181,Oh_comma_congrats!thats great,5|5|5_4|4|4,
hit:571_conv:1142,3,proud,I was very happy when I finished college.,185,thank you are you in college?,5|5|5_4|4|4,
hit:571_conv:1142,4,proud,I was very happy when I finished college.,181,Not yet_comma_about to,5|5|5_4|4|4,
hit:571_conv:1143,1,faithful,I trust people a lot,181,My trust for people has no limit,4|4|4_5|5|5,
hit:571_conv:1143,2,faithful,I trust people a lot,185,that is good right? that means you give everyone a chance?,4|4|4_5|5|5,
hit:571_conv:1143,3,faithful,I trust people a lot,181,Yes_comma_and am being appreciated for that,4|4|4_5|5|5,
hit:571_conv:1143,4,faithful,I trust people a lot,185,that is good the world needs more people like you,4|4|4_5|5|5,
hit:572_conv:1145,1,confident,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,186,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,1|1|1_5|5|5,
hit:572_conv:1145,2,confident,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,178,what was the reaction of the people around you,1|1|1_5|5|5,
hit:572_conv:1145,3,confident,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,186,Amazement! I throw them over the water and when they come back_comma_ it draws a crowd. I've met a lot of tourist that way.,1|1|1_5|5|5,
hit:572_conv:1145,4,confident,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,178,wow_comma_ thats interesting. boomerangs are easy to throw though. everyone should be doing it,1|1|1_5|5|5,
hit:572_conv:1145,5,confident,I throw boomerangs at the beach and I'm the only one I have ever seen do that.,186,You're the first to say that. Most people can't throw them and when I try to teach them_comma_ I usually loose one to the sea!,1|1|1_5|5|5,
hit:573_conv:1147,1,angry,I remember the time when I was madly raging_comma_ that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ,187,I remember the particular time when I was a madly raging_comma_ that I smashed a 40oz beer on the street floor scattering all glass pieces over. ,2|3|4_5|5|5,
hit:573_conv:1147,2,angry,I remember the time when I was madly raging_comma_ that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ,158,I bet you wore shoes on the street for a while.,2|3|4_5|5|5,
hit:573_conv:1147,3,angry,I remember the time when I was madly raging_comma_ that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ,187,Aye. I did it because I lost a $500 bet. ,2|3|4_5|5|5,
hit:573_conv:1147,4,angry,I remember the time when I was madly raging_comma_ that I smash a 40oz beer on the street floor scattering all glass pieces over. That was after I lost $500 in gambling. ,158,That's too bad.,2|3|4_5|5|5,
hit:574_conv:1148,1,joyful,I am elated!  I got the job of my dreams today!,160,I am so elated!  I got the job of my dreams today!,5|5|5_4|5|5,
hit:574_conv:1148,2,joyful,I am elated!  I got the job of my dreams today!,184,That sounds fun. What kind of job is it?,5|5|5_4|5|5,
hit:574_conv:1148,3,joyful,I am elated!  I got the job of my dreams today!,160,Its a teaching job at a high school.,5|5|5_4|5|5,
hit:574_conv:1148,4,joyful,I am elated!  I got the job of my dreams today!,184,Oh that's fun_comma_ teachers are some of the most underpaid people in the world.,5|5|5_4|5|5,
hit:574_conv:1149,1,guilty,When I was 9 years old I once stole my friends baseball cards and I still to this day feel bad about it.,184,When I was 9 years old I once stole my friends baseball cards and I still to this day feel bad about it.,4|5|5_5|5|5,
hit:574_conv:1149,2,guilty,When I was 9 years old I once stole my friends baseball cards and I still to this day feel bad about it.,160,Oh my!  I hope you learned your lesson and never stole from a friend again.,4|5|5_5|5|5,
hit:574_conv:1149,3,guilty,When I was 9 years old I once stole my friends baseball cards and I still to this day feel bad about it.,184,I sure haven't_comma_ I was just a silly kid_comma_ but for some reason it's always stuck with me.,4|5|5_5|5|5,
hit:574_conv:1149,4,guilty,When I was 9 years old I once stole my friends baseball cards and I still to this day feel bad about it.,160,I can imagine.  I hope you gave them back!,4|5|5_5|5|5,
hit:575_conv:1151,1,afraid,Someone tried to break into my house. I had to take my kids into our bedroom and call 911 while my husband stood at the door with some pepper spray and a knife. ,152,Someone was trying to break into my door one night. I had to sit with my kids in their bedroom_comma_ calling 911 while my husband guarded the door with a knife and pepper spray.,5|5|5_5|5|5,
hit:575_conv:1151,2,afraid,Someone tried to break into my house. I had to take my kids into our bedroom and call 911 while my husband stood at the door with some pepper spray and a knife. ,6,What?that is so scary/ What happened after that?,5|5|5_5|5|5,
hit:575_conv:1151,3,afraid,Someone tried to break into my house. I had to take my kids into our bedroom and call 911 while my husband stood at the door with some pepper spray and a knife. ,152,Well_comma_ the police showed up but the guy fled. Our door was all scratched up and looked like he had been kicking it too. It makes me anxious thinking whoever it is could be anywhere in our small town.,5|5|5_5|5|5,
hit:575_conv:1151,4,afraid,Someone tried to break into my house. I had to take my kids into our bedroom and call 911 while my husband stood at the door with some pepper spray and a knife. ,6,Sorry about that_comma_you might think of moving to somewhere more safe.,5|5|5_5|5|5,
hit:577_conv:1154,1,furious, A driver brushed my car with his car and did not stop to apologize and fix my car,166,How can someone brush your car without waiting to appologize,4|3|3_5|5|5,
hit:577_conv:1154,2,furious, A driver brushed my car with his car and did not stop to apologize and fix my car,178,ooh_comma_  sorry about that. That is so rude,4|3|3_5|5|5,
hit:577_conv:1154,3,furious, A driver brushed my car with his car and did not stop to apologize and fix my car,166,i wish i can locate him and make him pay for what he did. but i will prefer to brush his face with a punch ,4|3|3_5|5|5,
hit:577_conv:1154,4,furious, A driver brushed my car with his car and did not stop to apologize and fix my car,178,Please do not do that. just forgive him and hope that it does not happen again,4|3|3_5|5|5,
hit:578_conv:1156,1,surprised,For my 30th birthday my friends threw me an unexpected party that was a lot of fun.,184,For my 30th birthday my friends threw me an unexpected party that was a lot of fun."
126,176,Actitud,prepared,when I had my test to get a new certification at work_comma_ I felt great about it because I had workd really hard and studied.,I had my test for a new certification at work.  I really wasn't that nervous for it though.
127,177,Actitud,prepared,I knew I was going to pass my drivers test. I just knew I would do well,I knew I was going to pass my drivers test. I knew I would do well
128,199,Actitud,prepared,One year we had a scary hurricane warning_comma_ but thankfully with plenty of time to get ready for it. So I got batteries_comma_ beer_comma_ non-perishable foods. I was totally ready!,Wouldn't you know it totally missed my city. I was a little let down to be honest_comma_ though glad we were safe.
129,198,Actitud,prepared,Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared,I bought a big rubbermaid portable file box that has folders 
130,197,Actitud,prepared,We had a big storm last summer_comma_ so this year I bought a ton of supplies in case we lost power or had flooding. Last year our basement got very damaged. ,Yeah its all repaired now. I also bought lots of food in case we loose power.
131,196,Actitud,prepared,Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.,I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it.
132,195,Actitud,prepared,We went through hurricane irma last year. We got everything we needed and put metal shutter on all the windows and decided to stay. , i must have been terrifying_comma_ I am glad you both made it through it
133,194,Actitud,prepared,I have been training for months for the race.,I'm sure all the work will be worth it in the end!
134,193,Actitud,prepared,I am all packed for my vacation.  I don't believe I have forgotten anything for the trip but you never know.,I'm leaving for my vacation soon.  I have everything all packed and ready to go.
135,192,Actitud,prepared,College is starting in 3 weeks_comma_ and I have my apartment all settled_comma_ my classes picked out_comma_ and my student loans scheduled. I feel like I'm on track to start the semester in a way where I'm not hurried or confused_comma_ and it feels good.,Hey... that's okay. I'm 28 and just now about to finish my 4-year degree. My brother finished his at 36. There's always a reason for the path you take. Maybe it led to better things. Don't ever just consider yourself a statistic. Good luck!
136,191,Actitud,prepared,I had been grinding at home trying to build my website when this girl I hadn't heard from since high school called. She said she was in town and wanted to catch up.  Deciding I needed a break from work I turned off my laptop_comma_ threw on some fresh khakis and air nikes and 2 condoms just in case.  Turned out it's always better safe than sorry.,They're known to cause erectile dysfunction? There's chemicals in the laces_comma_ dude! A conspiracy I tell you! Done by OBAMA!
137,190,Actitud,prepared,im ready for next week!,what's happening next week?
138,152,Actitud,hopeful,I borrowed some money from my friend. I've a confidence I'll repay this month to him.,What a good friend to lend you money in your time of need. You should thank him and take him to dinner after everything is sorted.
139,189,Actitud,prepared,I went into that interviewing knowing i could answer any question they threw at me,yea im sure i'll get the job
140,187,Actitud,prepared,I had a big presentation that I was very nervous about. Luckily_comma_ I made sure to practice and get everything together before time,I am so happy everything went well for you.
141,186,Actitud,prepared,I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.,I think I got everything I need for my job interview tomorrow. I got my fancy clothes and answers prepared for common questions they usually throw at u.
142,185,Actitud,prepared,It was my first time taking the DMV test. I went there rather early and aced the test.,Yes it was even though I was a bit nervous.
143,184,Actitud,prepared,When I went into labor with my son_comma_ it was quite the ordeal. He was coming way too early and we had to rush to get him out. Thankfully_comma_ I had everything already packed beforehand!,Is he healthy?
144,183,Actitud,prepared,I@ve done lots of research for an interview tis week,I have an interview this week
145,182,Actitud,prepared,I've got all my fishing gear packed up. I'm ready for tomorrow morning.,I've got all my fishing gear packed up. I'm ready for tomorrow morning.
146,181,Actitud,prepared,I'm spent all summer getting ready to write my thesis. I can't wait to get time to start.,I spent all summer getting ready to write my thesis. I can't wait to get time to start.
147,180,Actitud,prepared,ready to leave this hood ,That sounds like a plan.
148,179,Actitud,prepared,I am having some financial issues. I am selling almost everything before the bailiff come.,I am having some financial issues. I am selling almost everything before the bailiff come.
149,178,Actitud,prepared,I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint,I'm looking forward to presenting to my client_comma_ I spent a lot of time on that powerpoint
150,188,Actitud,prepared,Getting ready to file quarterly taxes and I have been very diligent with organization this year so I am prepared,How much stuff did you have to go through?
151,99,Actitud,proud,I just got a steam cleaner and used it for the first time yesterday. My carpets came out so clean!,I was in the market for a steam cleaner and did tons of research til I chose the best one.
152,151,Actitud,hopeful,My daughter starts public school for the first time in 3 years. I think she is going to do well,My daughter starts public school for the first time in 3 years! I think she is going to do great but she's a little bit nervous.
153,149,Actitud,faithful,I was on a business trip last week spending some time at a local bar. There was a girl who was being flirty with me. I had to tell her that I was married and I couldn't play with her.,Last week on a business trip I spent some time at the bar. There was this girl who was really flirty with me. I had to tell her that I couldn't play with her because I was married.
154,121,Actitud,trusting,I was walking around SF zoo the other day and realized that animals are such genuine creature and I like them like humans_comma_,Have you ever been to the zoo just to realize that animals can be just as good as humans?
155,120,Actitud,trusting,The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,It must be nice to have that kind of trust for someone_comma_ and motorcycles can be fun!
156,119,Actitud,trusting,When I was a little kid I used to put my faith in everybody.  I learned later on_comma_ as I matured that you can't rely on other people too much because only you know what is best for you in life while everyone else will try to use you if they see you doing too well in life,I understand. Do you like Tony Montana in the movie Scarface?
157,118,Actitud,trusting,If I'm going to be in a relationship I need girl I can depend on_comma_ not some effed up crazy damaged goods type of girl,Yes_comma_ glad you agree....I was an idiot and mistook a deadly combo of pity and infatuation for love...but now I know what to avoid and what I want so I'm thankful
158,117,Actitud,trusting,Once I was working on a big project with a bunch of people and made a mistake. One of the other people working on the project covered for me even though they didn't need to. ,did it boost your confidence and faith in mankind?
159,116,Actitud,trusting,I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.,I hate that too. Most of the managers are like that. They never listen and they can be rude.
160,115,Actitud,trusting,My co-worker is in charge of finishing up our big project. I am putting all my faith in them.,I have a co-worker putting the finishing touches on a big project and work_comma_ and I am really putting all my faith in him.
161,114,Actitud,trusting,I knew my dad would help me with my test. He was good at math,I knew my dad would help me with my test. He was good with math
162,113,Actitud,trusting,I can tell my best friend anything!,I usually ask her for advice and tell her embarrassing stories because she never snitches!
163,112,Actitud,trusting,When I had many problems or I was sad_comma_ I knew God was with me and the things were going to improve.,Can you facetime them?
164,111,Actitud,trusting,I let my son drive the car for the first time.,You must be so proud of him!
165,110,Actitud,trusting,I trust my wife with my life,thats a good bond how long have you been together? 
166,109,Actitud,trusting,My partner and I both work 24-hour shifts and tend to alternate shifts (I'll be at home hwen she's at work and she'll be at home when I'm at work). This can lead to some insecurities sometimes because not only are we away from each other alot_comma_ but we have a lot of time by ourselves where anyone could come over if they want to. I feel so lucky knowing that my wife has my best interest in mind. ,Ahh! We both enjoy it. Thanks for the thank you_comma_ though! :) 
167,108,Actitud,trusting,My nephew is learning how to drive and asked to use my car to take the driving test this weekend. ,Yeah. I feel he wont let me down. 
168,107,Actitud,trusting,I wanted to go out but needed someone to watch my kids. No one had ever babysat before. I let my sister watch them because I knew she would do a good job. ,Oh that's so great - and now you can feel comfortable leaving them with her more often!
169,106,Actitud,trusting,I went skydiving. I had to trust in the tandem partner I had to not kill me.,That's so awesome. I don't think I would have the courage now. Will you do it again?
170,105,Actitud,trusting,I believed that my son would behave responsibly when I left him home alone for the weekend.,Wow_comma_ that would have scared me_comma_ how did it go?
171,104,Actitud,trusting,I was working on a boat_comma_ and I had to hope that my friend didn't screw something up while I had my hands in the engine.,Gosh I hate it when I have to work on complicated parts in my boat engine_comma_ when my friend is helping me.
172,103,Actitud,trusting,i felt trusting when my dad and my mon care for me,Well as a fellow human being_comma_ I agree that when parents care for their children_comma_ it creates a lifelasting bond between the two parties.
173,102,Actitud,trusting,My daughter has grown up so much. She is finally able tobabysit her younger siblings,my daughter has matured so well
174,101,Actitud,trusting,I am waiting on my friend to come over. They are bringing me a medicine for my pet.,I'm sorry. That must make you sad.
175,122,Actitud,trusting,When my dad wanted to help me get a car_comma_ I trusted him. I knew he would help me a lot,That is nice of him_comma_ that is a good dad right there!
176,123,Actitud,trusting,My mom said she'd go to the doctor the next time she started feeling weird heart palpitations again. I'm about a thousand miles away from her_comma_ so I can't force her to go. But I'm worried about her_comma_ as she's always avoided the doctor_comma_ and always been in poor health. Hope she does the right thing.,"Sort of.. we have a neighbor that's been by her for 10 years_comma_ and they've been friends for a long time. But she's older herself_comma_ and has her own worries_comma_ so it's not like I can put more on her plate. My mother is just stubborn. I love her to death_comma_ but she's kind of a ""What will be_comma_ will be"" type person_comma_ and just assumes life will happen and you can_comma_ nor should_comma_ do anything to get in the way of it."
177,124,Actitud,trusting,I let people so much in my life and they ended up betraying my confidence i had in them.,I can sympathize with you. I've had a lot of betrayal in the past. The ONLY thing to do is to continue looking for trustworthy individuals. 
178,125,Actitud,faithful,I am very faithful to my employer.,My employer provides me with lots of training and support so I have become very faithful to them.
179,148,Actitud,faithful,I was invited to church this last weekend. I went and felt very optimistic in the church.,I went to church with a friend recently.
180,147,Actitud,faithful,I've never cheated on my wife,uh oh how does Facebook help? lol
181,146,Actitud,faithful,I fully trust in my intuition and dreams.  They have gotten me this far and I'm going all the way to the top,These days I'm trusting my intuition and following my gut to achieve my goals.  They've gotten me this far and haven't let me down yet
182,145,Actitud,faithful,I've failed a lot of diets in the past_comma_ but this time I've been able to stay dedicated for the past four months. I'm seeing great progress now!,Yeah_comma_ that sounds like a really good idea!
183,144,Actitud,faithful,When the guy I'm now married to and I met for the first time I was actually dating someone else. I thought that my now husband would just be a really good friend to me. I stayed with my ex-boyfriend for a while after_comma_ and even when I knew I wanted to date my now husband I never did anything to betray my ex.,Well that's good. Sounds like it all worked out pretty well.
184,143,Actitud,faithful,One day my neighbor helped me in a risky situation. So I'm loyal to their family always.,Yeah_comma_ They helped me in the risky situation when I was alone.
185,142,Actitud,faithful,I have been with my car insurance company for 30 years.,I have been with my car insurance company for 30 years.
186,141,Actitud,faithful,god has done so much for me in my life. i owe everything to him,and i know he's going to come back for me and take me away from this place
187,140,Actitud,faithful,I had a girl try to hook up with me_comma_ but i didnt do anything because I love my wife.,This attractive girl at the bar was trying to get me to go home with her the other night
188,139,Actitud,faithful,3,A key to a long relationship is persistence_comma_ so keep at it! 
189,150,Actitud,hopeful,I am confident my brother will beat his cancer.,I am confident my brother will beat this cancer.
190,138,Actitud,faithful,Some one owed me some money,I thought he would not pay back after a long time
191,136,Actitud,faithful,I have always  been faithful to my girlfiend of almost 3 years,So many people cheat nowadays. That's good to hear!
192,134,Actitud,faithful,I feel very committed to my work. No matter how I feel_comma_ I have to press on and complete it. It's been a rough week and my will power is very strong to still work through all this,yes. It's been a rough week and my will power is very strong to still work through all this
193,133,Actitud,faithful,I feel this way because I have hope that I will get into grad school.,That sounds interesting_comma_ when do you learn if you got in?
194,132,Actitud,faithful,When I am in nature I feel good that this world is exactly as it should be. Everything is moving a long to Gods desires.,Why do cities make you feel that way?
195,131,Actitud,faithful,I love my girlfriend so much. I think im going to marry her.,Congratulations and thats OK I do that a lot too.
196,130,Actitud,faithful,I would never cheat on my wife like my brother cheated on his wife,Cheating  on your spouse is a despicable thing to do.
197,129,Actitud,faithful,When my spouse was out of town for work_comma_ a friend stopped by to visit. This friend offered to kiss me_comma_ but I declined and asked the friend to leave. I only have interest in my spouse in this way.,I said no and made the friend leave. I only like my spouse.
198,128,Actitud,faithful,I was married to my wife for thirty years_comma_ and even though she has passed I can't bring myself to date anyone else.,Well_comma_ if that's how you feel then maybe it is best if you stay in the dugout and don't play the field. No shame in that.
199,127,Actitud,faithful,Getting married this fall,It's lovely. Be a happy couple. live long together!
200,126,Actitud,faithful,i have faith my brother will do alright,Well at least you were able to introduce him to your friend. I hope everything works out for him!
201,137,Actitud,faithful,I just celebrated 25 years at my job.,You should've made them buy another cake!
202,196,Actitud,prepared,Last week when I was coming back to my home_comma_ a man approached me. But_comma_ I had a gun. I felt I was ready.,I had a gun. I felt I was ready. If anything would have happened_comma_ I could have used it.
203,82,Actitud,proud,My daughter got is going to university. I'm so happy. ,Thank you_comma_ I'm so proud
204,194,Actitud,prepared,I have been training for months for the race.,I'm sure all the work will be worth it in the end!
